,property_id
0,1110
1,238
2,242
3,243
4,244
5,256
6,260941
7,260942
8,260943
9,260944
10,260947
11,261648
12,262522
13,267668
14,267669
15,267731
16,267733
17,267734
18,267735
19,323250
20,358777
21,366
22,387
23,409745
24,425475
25,426264
26,426276
27,426368
28,426570
29,426761
30,426870
31,426977
32,426979
33,426980
34,427083
35,427343
36,427345
37,638
38,652
39,715
40,742
41,777
42,814
43,905
44,915
45,916
46,997
47,998
48,427346
49,427593
50,427749
51,427761
52,427801
53,427921
54,427923
55,427924
56,427992
57,428042
58,428043
59,428044
60,428075
61,428109
62,428252
63,428388
64,428446
65,428594
66,428712
67,428826
68,428829
69,431376
70,431469
71,431470
72,431502
73,431503
74,431504
75,432271
76,432430
77,432494
78,432499
79,432514
80,432515
81,432518
82,432547
83,432596
84,432610
85,432638
86,432738
87,432801
88,432802
89,433937
90,439823
91,440836
92,440859
93,448884
94,448889
95,448905
96,448948
97,449056
98,449175
99,449194
100,449195
101,449246
102,449247
103,449340
104,449480
105,449482
106,449483
107,449525
108,450366
109,450367
110,450368
111,450369
112,450387
113,450490
114,451083
115,451296
116,451817
117,452060
118,462525
119,462819
120,463521
121,463522
122,464441
123,466853
124,481533
125,481560
126,482020
127,482199
128,482629
129,482665
130,482745
131,482767
132,483319
133,484167
134,484211
135,484231
136,485201
137,485595
138,485641
139,486039
140,486421
141,486519
142,500845
143,501350
144,506915
145,514262
146,514373
147,514420
148,514486
149,515137
150,515250
151,515339
152,515460
153,515616
154,515665
155,515968
156,517164
157,517173
158,517191
159,517660
160,517698
161,517718
162,517760
163,517789
164,517799
165,517860
166,517964
167,518112
168,518958
169,519052
170,519118
171,519279
172,519390
173,519710
174,519729
175,520230
176,531973
177,532986
178,533656
179,533814
180,534156
181,548144
182,548240
183,549433
184,549642
185,549690
186,550346
187,550347
188,550862
189,550890
190,550906
191,551620
192,551976
193,553081
194,553661
195,553699
196,553709
197,554098
198,554113
199,565496
200,567175
201,568877
202,569093
203,582536
204,582600
205,583150
206,796113
207,796187
208,796197
209,796198
210,796755
211,796839
212,796862
213,796945
214,796967
215,797036
216,797037
217,797056
218,797086
219,797102
220,797167
221,797253
222,797311
223,797320
224,797322
225,797348
226,797390
227,797430
228,797533
229,797555
230,797562
231,797569
232,797742
233,798003
234,798019
235,798023
236,798144
237,798147
238,798246
239,798247
240,798248
241,798257
242,798328
243,803027
244,803189
245,803202
246,803865
247,804061
248,811071
249,815759
250,816124
251,816504
252,816819
253,817242
254,817989
255,818969
256,820265
257,820753
258,820826
259,821211
260,821245
261,821645
262,821647
263,821650
264,821653
265,821963
266,822372
267,822405
268,822573
269,823082
270,823084
271,823268
272,823765
273,824020
274,824769
275,824813
276,825895
277,826449
278,831990
279,832161
280,832513
281,832859
282,832869
283,833188
284,833195
285,865803
286,865807
287,865839
288,865849
289,866068
290,866088
291,866230
292,866289
293,866293
294,866338
295,866383
296,866594
297,866635
298,866644
299,866690
300,866705
301,866839
302,866864
303,866947
304,866958
305,866962
306,866965
307,866974
308,867045
309,867186
310,867189
311,867351
312,867386
313,867464
314,867468
315,867473
316,867479
317,867481
318,867487
319,867490
320,867492
321,867516
322,867548
323,873822
324,873843
325,873881
326,873907
327,873927
328,874135
329,874148
330,874161
331,874301
332,874355
333,874378
334,874444
335,874480
336,874490
337,874523
338,874535
339,874538
340,874603
341,876399
342,876456
343,876477
344,876489
345,876515
346,876564
347,876650
348,876677
349,876730
350,876752
351,876777
352,876788
353,876803
354,876827
355,876831
356,876836
357,876900
358,876948
359,876997
360,877003
361,877039
362,877070
363,877080
364,877155
365,877182
366,877214
367,877222
368,877237
369,877238
370,877255
371,877263
372,877284
373,877303
374,877388
375,877446
376,877471
377,877486
378,877494
379,877550
380,877577
381,877688
382,877717
383,877770
384,877783
385,877801
386,877803
387,877881
388,877882
389,877901
390,877907
391,877918
392,877939
393,877941
394,877948
395,878009
396,878025
397,878056
398,878057
399,878058
400,878168
401,878206
402,878218
403,878235
404,878251
405,878277
406,878315
407,878436
408,878450
